Date(UTC),UnixTimeStamp,Value,
2/15/16,1455494400,5.22,
2/16/16,1455580800,4.25,
2/17/16,1455667200,3.86,
2/18/16,1455753600,4.36,
2/19/16,1455840000,4.45,
2/20/16,1455926400,4.37,
2/21/16,1456012800,4.63,
2/22/16,1456099200,5.6,
2/23/16,1456185600,5.7,
2/24/16,1456272000,6.23,
2/25/16,1456358400,5.93,
2/26/16,1456444800,6.03,
2/27/16,1456531200,6.31,
2/28/16,1456617600,6.5,
2/29/16,1456704000,6.35,
3/1/16,1456790400,7.59,
3/2/16,1456876800,8.7,
3/3/16,1456963200,9.35,
3/4/16,1457049600,9.96,
3/5/16,1457136000,11,
3/6/16,1457222400,10.98,
3/7/16,1457308800,9.5,
3/8/16,1457395200,9.88,
3/9/16,1457481600,11.55,
3/10/16,1457568000,11.11,
3/11/16,1457654400,11.25,
3/12/16,1457740800,13.25,
3/13/16,1457827200,15,
3/14/16,1457913600,12.5,
3/15/16,1458000000,13.09,
3/16/16,1458086400,12.92,
3/17/16,1458172800,11.14,
3/18/16,1458259200,10.75,
3/19/16,1458345600,10.55,
3/20/16,1458432000,10.06,
3/21/16,1458518400,11.97,
3/22/16,1458604800,10.96,
3/23/16,1458691200,12.29,
3/24/16,1458777600,11.13,
3/25/16,1458864000,10.69,
3/26/16,1458950400,11,
3/27/16,1459036800,10.5,
3/28/16,1459123200,11.58,
3/29/16,1459209600,11.73,
3/30/16,1459296000,11.88,
3/31/16,1459382400,11.41,
4/1/16,1459468800,11.63,
4/2/16,1459555200,11.61,
4/3/16,1459641600,11.58,
4/4/16,1459728000,11.1,
4/5/16,1459814400,10.39,
4/6/16,1459900800,10.79,
4/7/16,1459987200,10.08,
4/8/16,1460073600,9.74,
4/9/16,1460160000,9.16,
4/10/16,1460246400,8.8,
4/11/16,1460332800,8.72,
4/12/16,1460419200,7.54,
4/13/16,1460505600,8.02,
4/14/16,1460592000,8.48,
4/15/16,1460678400,8.22,
4/16/16,1460764800,8.48,
4/17/16,1460851200,9.45,
4/18/16,1460937600,8.92,
4/19/16,1461024000,8.77,
4/20/16,1461110400,8.54,
4/21/16,1461196800,8.16,
4/22/16,1461283200,7.83,
4/23/16,1461369600,8.31,
