,miner,block,transaction_count
0,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,243175,471319
1,0x2a65aca4d5fc5b5c859090a6c34d164135398226,225380,736706
2,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,107789,245572
3,0x63a9975ba31b0b9626b34300f7f627147df1f526,48718,94335
4,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,47488,168392
5,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,41733,49903
6,0x738db714c08b8a32a29e0e68af00215079aa9c5c,36608,66208
7,0xe6a7a1d47ff21b6321162aea7c6cb457d5476bca,31322,24842
8,0x68795c4aa09d6f4ed3e5deddf8c2ad3049a601da,30505,87841
9,0x790b8a3ce86e707ed0ed32bf89b3269692a23cc1,26774,53849
10,0x580992b51e3925e23280efb93d3047c82f17e038,24139,33785
11,0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13,23104,22191
12,0x95581ea0c5b362933f3523138f54d51eae817211,21473,55218
13,0xa027231f42c80ca4125b5cb962a21cd4f812e88f,17256,42423
14,0xbb7b8287f3f0a933474a79eae42cbca977791171,16940,14776
15,0xf466ec23d841922abc3b0056f929a3d7c8b91814,10795,20321
16,0x151255dd9e38e44db38ea06ec66d0d113d6cbe37,9061,45552
17,0x88d74a59454f6cf3b51ef6b9136afb6b9d405a88,6688,3569
18,0xd8ddb0070aee305fc05be67ecab7e2979e940404,5940,17231
19,0x9d551f41fed6fc27b719777c224dfecce170004d,5809,8879
20,0x9746c7e1ef2bd21ff3997fa467593a89cb852bd0,5755,4009
21,0xcb3a3acc2a80678f1a3ec72d6593ab47ccf1b8e0,5268,7850
22,0x7e6930b63d03e88f5928c5cd6ee3fcee4d714f7f,5014,5259
23,0x8950cfd22b20eea0cec121858ba91c2c23c12e16,4320,7772
24,0x8722141eeebeceb88c2891ce30925396f4be2d69,4178,6754
25,0x8d8dfbd04db0942d79bb1bb038e8876bb67ff825,3652,6715
26,0xef247e639d49461d25f57e9362cade3120910ce0,3595,4696
27,0x24f03a0786f459be40c38ba1c47714e08f9947e5,3546,10876
28,0xe2fe6b13287f28e193333fdfe7fedf2f6df6124a,3479,7361
29,0x22a0fbf89ad1362d74f626436d8c4fc6dc4f0679,3357,7475
30,0xe409d18384025b84ce2f77e21db73aade4c3cf67,3320,6514
31,0xf8e0ca3ed80bd541b94bedcf259e8cf2141a9523,3133,1437
32,0x608f4b86321a68453f9adf6f06f7fc3e621739ad,2958,3449
